word,count
.,438
!,215
the,188
",",186
:,138
to,125
i,122
a,118
and,114
-,101
'',100
is,99
I,85
',83
in,75
?,73
...,72
like,69
it,69
for,66
's,62
on,60
of,60
you,59
my,57
love,53
britney,53
-RRB-,51
that,51
spears,49
n't,41
with,41
do,39
lindsay,34
but,33
lohan,33
me,33
-LRB-,32
all,31
was,30
she,28
this,27
her,27
obama,27
as,26
are,26
be,26
m,25
just,25
at,24
good,23
have,23
by,22
wii,22
has,22
they,21
lady,20
harry,20
google,20
so,19
potter,19
we,19
if,19
what,19
out,19
not,19
get,18
even,18
an,18
✔,18
3,18
up,17
he,17
think,17
xbox,16
new,16
gaga,16
ipod,16
about,16
more,15
his,15
The,15
&,15
song,15
can,15
know,15
jimmy,14
now,14
madonna,13
one,13
will,13
barack,13
palin,12
would,12
;,12
wave,12
windows,12
ha,12
sarah,12
how,12
7,12
make,11
no,11
lol,11
game,11
look,11
real,11
from,11
did,11
your,11
too,11
or,11
really,10
na,10
been,10
2,10
kindle,10
am,10
ve,10
who,10
time,10
bad,10
had,9
nicolas,9
iphone,9
video,9
some,9
any,9
pretty,9
people,9
/,9
than,9
very,9
justin,9
ca,9
cage,9
fucking,9
clinton,9
back,9
day,8
-LSB-,8
made,8
television,8
gag,8
*,8
awesome,8
its,8
damn,8
s,8
go,8
psp,8
micheal,8
hillary,8
twitter,8
when,8
President,8
live,8
lakers,8
ipad,8
jobs,7
-RSB-,7
|,7
great,7
My,7
were,7
right,7
sucks,7
ever,7
prize,7
see,7
music,7
let,7
play,7
again,7
RT,7
after,7
here,7
girl,7
should,7
much,7
<,7
jackson,7
got,7
steve,7
best,7
hate,7
news,6
does,6
other,6
could,6
kardashian,6
fallon,6
gomez,6
cool,6
going,6
minaj,6
into,6
there,6
It,6
--,6
fuck,6
taylor,6
D,6
carter,6
selena,6
=,6
don,6
watching,6
News,6
doing,6
today,6
alicia,6
You,6
wants,6
over,6
because,6
keys,6
want,6
So,5
maradona,5
peace,5
videos,5
movie,5
show,5
nicki,5
reading,5
feat,5
'd,5
hot,5
straight,5
john,5
swift,5
first,5
hilary,5
thanks,5
through,5
Now,5
well,5
read,5
miley,5
moore,5
always,5
yes,5
need,5
cyrus,5
playing,5
actually,5
friend,5
sheen,5
bitch,5
She,5
swank,5
4,5
then,5
funny,5
happy,5
computer,5
charlie,5
shit,5
'll,5
better,5
last,5
phone,5
face,5
How,5
+,4
sure,4
super,4
list,4
them,4
khloe,4
die,4
off,4
cute,4
Do,4
way,4
set,4
without,4
vail,4
bieber,4
songs,4
ass,4
wish,4
follow,4
fit,4
A,4
hard,4
mandy,4
work,4
someone,4
amazing,4
boy,4
There,4
wrong,4
week,4
guys,4
nude,4
stuff,4
said,4
band,4
remember,4
say,4
Lol,4
Nobel,4
fun,4
apple,4
$,4
're,4
still,4
less,4
says,4
Apple,4
days,4
where,4
old,4
Just,4
why,4
trying,4
loved,4
same,4
mean,4
Is,4
dad,4
>,4
wonder,4
listening,4
version,4
They,4
come,4
anderson,4
long,4
~,4
court,3
timberlake,3
shot,3
worse,3
What,3
year,3
la,3
y,3
nobel,3
order,3
two,3
having,3
won,3
totally,3
miss,3
dvd,3
looking,3
Thank,3
rock,3
This,3
blame,3
top,3
art,3
shame,3
school,3
gossip,3
al,3
omg,3
dead,3
broken,3
pictures,3
marriage,3
high,3
fail,3
movies,3
against,3
wow,3
sounds,3
d,3
turned,3
women,3
down,3
For,3
`,3
daily,3
something,3
wait,3
5,3
wtf,3
woke,3
singing,3
Fuck,3
another,3
gon,3
demi,3
hell,3
And,3
nintendo,3
biden,3
fans,3
LOL,3
suck,3
looks,3
epic,3
morning,3
yeah,3
thinks,3
little,3
popular,3
woohoo,3
thought,3
moves,3
application,3
black,3
sound,3
saw,3
touch,3
To,3
fan,3
musicmonday,3
rumors,3
head,3
george,3
books,3
awful,3
thank,3
completely,3
player,3
world,3
bush,3
wan,3
makes,3
lots,3
feels,3
shakira,3
Video,3
since,3
Obama,3
That,3
legend,3
most,3
OMG,3
360,3
e,3
replay,3
least,3
Peace,3
must,3
before,3
president,3
these,3
seems,3
katy,3
yo,3
cooper,3
under,3
book,3
probably,3
nt,3
ago,3
only,3
those,3
ta,3
their,3
lovato,3
came,3
perry,3
target,3
post,3
sex,3
father,3
Really,3
lucky,3
okay,3
1,3
believe,3
bill,3
baby,3
McCain,3
In,3
kill,3
tech,3
``,3
used,3
full,2
next,2
use,2
international,2
microsoft,2
Prize,2
matthews,2
See,2
person,2
penis,2
