word,count
the,2275
.,1914
to,1265
",",1097
!,971
I,916
in,806
on,802
#,787
and,765
a,736
of,667
's,604
is,585
for,581
:,569
it,480
with,469
...,460
?,444
you,439
be,415
at,407
tomorrow,403
-,377
',354
  ,352
"""",332
may,325
that,312
have,272
was,232
will,229
m,224
my,222
he,220
just,216
The,209
Friday,207
n't,198
&,192
out,190
this,189
game,188
but,185
;,179
going,175
),174
are,173
from,168
(,168
not,163
1st,163
Sunday,163
me,160
amp,158
about,154
up,150
night,148
time,143
day,142
like,142
so,139
all,135
Saturday,132
we,131
i,127
as,127
by,126
do,124
see,120
2nd,118
if,116
Thursday,116
2,112
October,112
get,112
go,107
3rd,107
his,103
has,102
4th,96
1,93
tonight,93
..,92
one,92
can,90
or,90
It,86
after,85
now,83
back,80
they,79
when,78
down,77
come,77
season,76
last,76
Wednesday,76
there,75
think,75
got,74
best,74
then,72
been,71
an,71
'll,70
watch,70
know,70
/,69
what,69
new,69
good,68
your,67
If,67
would,66
4,65
Oct,65
had,64
still,63
3,63
We,62
play,61
make,61
want,61
more,60
Monday,60
team,59
did,57
said,57
who,56
their,56
us,55
Modi,53
against,53
NFL,53
only,53
she,52
Rodgers,52
off,52
today,52
6,52
here,52
next,51
our,51
You,51
am,50
first,50
Black,49
start,49
watching,49
right,49
how,48
Aaron,47
love,47
win,47
take,46
him,46
James,46
....,45
pm,45
This,45
ve,44
Tomorrow,44
@,43
Ancelotti,43
A,43
So,42
her,42
again,42
Night,42
were,42
na,42
some,42
*,42
better,42
Brian,41
into,41
On,40
over,40
wait,40
Day,40
well,39
May,39
its,39
because,39
:),39
show,38
gon,38
than,38
Just,38
Tuesday,38
even,38
Disney,38
sat,38
before,37
too,37
could,37
January,37
t,37
work,37
're,37
ca,37
run,37
does,36
no,36
say,36
lol,36
Happy,36
vs,36
>,36
5,36
tickets,35
same,35
9,35
them,35
   ,35
My,34
Green,34
morning,34
Arsenal,34
great,33
5th,33
playing,33
He,33
World,33
2014,33
November,33
Bill,32
That,32
old,32
Madrid,32
Nov,32
need,32
Time,32
nt,32
way,31
week,31
place,31
since,31
being,31
They,31
video,31
What,30
Narendra,30
film,30
State,30
coming,30
RT,30
big,30
people,29
sure,29
made,29
Packers,29
All,29
