word,count
LOCATION1,1456
is,913
",",848
and,705
the,571
a,566
I,466
of,404
LOCATION2,398
to,395
in,379
area,297
it,296
nice,278
are,256
you,234
but,234
London,192
  ,185
very,178
there,162
not,154
's,150
-,147
live,143
as,142
be,134
areas,132
would,130
good,124
like,121
that,120
for,119
has,103
or,97
place,97
n't,96
with,92
really,91
quite,88
have,85
',84
(,83
too,83
expensive,82
),81
at,79
which,78
more,77
on,76
from,75
i,73
great,67
so,65
around,63
also,62
bad,62
bit,62
places,58
can,57
its,57
lovely,55
out,53
if,52
your,51
go,51
some,50
much,48
best,48
an,47
do,46
think,46
better,46
try,44
was,44
all,43
You,42
The,42
most,41
just,41
up,40
pretty,40
look,40
than,38
'd,38
recommend,37
my,37
people,36
safe,35
will,35
one,35
lots,34
love,34
lived,34
near,34
where,33
far,33
If,33
ve,33
by,32
stay,32
well,32
part,31
get,30
though,30
because,30
could,29
somewhere,29
parts,28
central,28
town,28
away,28
they,28
want,28
been,27
probably,27
only,27
cheap,27
/,26
few,26
tube,26
m,26
about,26
say,25
beautiful,25
south,24
no,24
shops,24
close,24
cool,24
lot,24
nt,24
Try,24
It,24
always,23
still,23
such,23
other,22
looking,22
years,22
trendy,22
restaurants,21
night,21
might,21
down,21
There,21
now,21
ok,20
into,20
both,20
Also,19
upmarket,19
bars,19
decent,19
transport,19
many,19
nicer,19
avoid,19
coming,19
living,19
etc,18
move,18
rough,18
budget,18
then,18
feel,18
consider,18
suggest,18
bet,18
find,18
used,18
South,17
fine,17
afford,17
pleasant,17
either,17
over,17
popular,17
young,16
what,16
nicest,16
high,16
:,16
Avoid,16
crime,16
cheaper,15
especially,15
west,15
're,15
way,15
end,15
worst,15
whole,15
s,15
full,14
My,14
station,14
generally,14
time,14
know,14
centre,14
going,14
this,14
were,13
affordable,13
actually,13
right,13
big,13
east,13
these,13
LOCATION2/LOCATION1,13
residential,13
money,13
being,13
Central,13
had,12
poor,12
who,12
dump,12
village,12
gorgeous,12
got,12
further,12
Most,12
am,12
little,12
long,12
;,11
life,11
here,11
horrible,11
line,11
Do,11
Line,11
anywhere,11
West,11
heard,11
north,11
work,11
things,11
reputation,11
Personally,11
minutes,11
rent,11
interesting,10
never,10
general,10
yes,10
need,10
towards,10
houses,10
may,10
me,10
maybe,10
clubs,10
housing,10
choice,10
less,10
pubs,10
enough,10
dangerous,10
"""",10
But,10
suburbs,10
definitely,10
round,10
posh,10
OK,10
depends,10
clear,10
suburb,10
lives,10
links,10
'll,10
worth,10
ai,10
does,9
property,9
honest,9
particularly,9
   ,9
favourite,9
streets,9
prefer,9
safer,9
even,9
loads,9
deprived,9
should,9
LOCATION1/LOCATION2,9
market,9
`,9
loved,9
desirable,9
council,9
okay,9
prices,9
nothing,9
travel,9
green,9
run,9
sure,8
hole,8
after,8
enjoy,8
fun,8
North,8
fact,8
huge,8
'',8
itself,8
train,8
location,8
hip,8
alot,8
pricey,8
plenty,8
quiet,8
any,8
street,8
Another,8
although,8
road,8
cafes,8
within,8
borough,8
In,8
Good,8
``,8
said,7
moving,7
perhaps,7
went,7
vibrant,7
getting,7
when,7
opinion,7
currently,7
local,7
reasonable,7
Nice,7
2,7
suburban,7
neighbourhood,7
slightly,7
mostly,7
ghetto,7
new,7
d,7
rather,7
unless,7
A,7
For,7
ca,7
those,7
something,7
highly,7
moved,7
walk,7
easy,7
family,7
see,7
leafy,7
personally,7
we,7
large,7
estates,7
Northern,6
alright,6
pick,6
character,6
busy,6
river,6
bits,6
fast,6
two,6
One,6
considered,6
own,6
become,6
off,6
did,6
called,6
extremely,6
liked,6
Surrey,6
friendly,6
shopping,6
clean,6
However,6
students,6
No,6
flat,6
seems,6
rate,6
THE,6
Just,6
side,6
choose,6
obviously,6
seen,6
agree,6
else,6
relatively,6
another,6
dark,6
ever,6
fantastic,6
amazing,6
atmosphere,6
As,6
nearby,6
wrong,6
last,6
back,6
luck,6
East,6
population,6
wo,6
fashionable,6
rates,5
rich,5
From,5
next,5
spent,5
again,5
middle,5
fan,5
park,5
mentioned,5
usually,5
fairly,5
them,5
built,5
Lots,5
arty,5
everything,5
flats,5
month,5
lively,5
absolutely,5
commuting,5
easily,5
attractive,5
Well,5
Parts,5
lol,5
others,5
anything,5
days,5
trains,5
depressing,5
mins,5
exactly,5
Stay,5
becoming,5
SE,5
parks,5
class,5
through,5
u,5
VERY,5
drugs,5
dull,5
problem,5
public,5
months,5
AND,5
hang,5
1,5
vibe,5
distance,5
Kent,5
take,5
costs,5
looks,5
connections,5
myself,5
during,4
safest,4
thought,4
trouble,4
15,4
thames,4
Other,4
worse,4
Anywhere,4
funky,4
IS,4
To,4
fair,4
cause,4
how,4
day,4
house,4
urban,4
inner,4
keep,4
certainly,4
Go,4
having,4
Generally,4
point,4
world,4
weekend,4
artists,4
BUT,4
meant,4
while,4
mention,4
bloody,4
different,4
student,4
everyone,4
zone,4
Jubilee,4
dirty,4
spot,4
moment,4
kind,4
ha,4
4,4
notorious,4
Yes,4
Areas,4
Take,4
surrounding,4
pay,4
improving,4
must,4
priced,4
thinking,4
particular,4
known,4
kids,4
Or,4
Asian,4
Park,4
neighborhoods,4
Not,4
capital,4
wanna,4
mind,4
plus,4
anyone,4
friends,4
same,4
their,4
villagey,4
home,4
mean,4
bed,4
Somewhere,4
excellent,4
Road,4
Great,4
half,4
boroughs,4
problems,4
advise,4
music,4
tend,4
Further,4
every,4
accommodation,4
corner,4
start,4
terrible,4
certain,4
along,4
thing,4
check,4
read,4
due,4
drug,3
Indian,3
times,3
use,3
tho,3
low,3
Londoners,3
price,3
alternative,3
course,3
Lane,3
happen,3
true,3
convenient,3
regeneration,3
late,3
link,3
Then,3
year,3
center,3
recommended,3
across,3
evening,3
grim,3
social,3
Look,3
offence,3
couple,3
outskirts,3
We,3
worked,3
modern,3
rail,3
wealthy,3
gentrified,3
opt,3
ugly,3
kept,3
she,3
IT,3
means,3
boring,3
visit,3
pain,3
top,3
friend,3
almost,3
despite,3
experience,3
apartment,3
That,3
Could,3
venues,3
musicians,3
brilliant,3
art,3
uni,3
Both,3
rubbish,3
overground,3
rest,3
studio,3
working,3
us,3
n,3
Location-,3
Station,3
school,3
found,3
willing,3
selection,3
made,3
:),3
cities,3
able,3
spaces,3
grew,3
nasty,3
ex,3
least,3
Yeah,3
wonderful,3
btw,3
stops,3
Street,3
paced,3
families,3
free,3
heaven,3
nightlife,3
old,3
Greater,3
finally,3
information,3
postcode,3
ppl,3
option,3
stations,3
sweet,3
wise,3
dodgy,3
recently,3
ago,3
overpriced,3
sorry,3
UK,3
expect,3
gets,3
unsafe,3
space,3
bus,3
miles,3
Even,3
scum,3
Olympic,3
proximity,3
mainly,3
Olympics,3
All,3
open,3
someone,3
closer,3
hell,3
gem,3
small,3
Thames,3
lucky,3
cosmopolitan,3
gangs,3
looked,3
professionals,3
believe,3
buildings,3
Village,3
Piccadilly,3
minute,3
markets,3
shop,3
cheapest,3
however,3
3,3
20,3
famous,3
blocks,3
affluent,3
Any,3
They,3
come,3
Some,3
access,3
So,2
@,2
curry,2
Hmm,2
comes,2
grotty,2
words,2
+,2
make,2
whereas,2
shot,2
lost,2
drink,2
guess,2
tricky,2
trendier,2
amenities,2
Would,2
highest,2
reasonably,2
dunno,2
afraid,2
independent,2
happening,2
angel,2
Places,2
decline,2
between,2
facilities,2
sense,2
Hill,2
Lovely,2
When,2
10,2
40,2
advice,2
poverty,2
bath,2
hidden,2
upon,2
help,2
On,2
alive,2
glamorous,2
number,2
compared,2
Rent,2
suburbia,2
immigrants,2
building,2
neighborhood,2
longer,2
gone,2
youths,2
nearer,2
Edwardian,2
Zone,2
quality,2
thrown,2
NOT,2
website,2
therefore,2
tower,2
ANY,2
include,2
list,2
.,2
complex,2
hipster,2
E9,2
chilled,2
awful,2
dough,2
hardly,2
uneasy,2
university,2
mates,2
poshest,2
horribly,2
edge,2
British,2
traffic,2
Mary,2
crap,2
Check,2
room,2
rise,2
buses,2
behaviour,2
short,2
several,2
lush,2
light,2
30,2
circular,2
wanted,2
District,2
totally,2
build,2
sought,2
