word,count
#,6230
the,3042
.,2823
to,2409
",",2014
a,1538
of,1455
in,1271
bbcqt,1267
is,1149
on,1024
and,1006
?,994
for,949
GE2015,873
"""",725
it,720
's,720
BattleForNumber10,709
-,673
that,655
n't,628
!,626
are,597
&,590
I,581
not,557
',551
be,551
NHS,510
you,502
have,501
bbcdp,473
we,454
tax,453
they,449
with,416
will,396
do,382
about,372
EU,361
as,340
  ,337
Labour,336
people,322
by,314
he,309
but,308
more,305
Osborne,296
:,294
The,293
from,291
if,286
up,276
all,272
economy,267
has,264
would,262
out,258
UK,257
Cameron,253
was,249
£,249
no,243
%,242
at,239
so,231
can,228
or,221
an,218
this,215
Tories,214
pay,214
get,206
what,193
who,191
need,184
Ed,183
want,180
our,178
just,176
should,171
...,168
how,168
their,168
when,166
If,163
Budget2015,159
housing,159
cuts,157
We,156
than,154
immigration,151
says,150
GE15,150
did,148
Tory,148
vote,147
bbcsp,146
cut,146
It,144
his,142
money,140
your,138
now,138
them,138
us,137
taxes,135
like,134
why,134
does,131
austerity,131
going,127
economic,126
one,126
only,125
then,124
avoidance,123
),120
there,119
think,119
time,118
down,118
hours,117
A&E,116
UKIP,114
(,114
VAT,113
go,113
2,111
marrshow,109
good,109
wage,107
're,107
say,105
off,104
many,104
know,104
m,103
because,103
work,103
jobs,102
police,102
So,100
over,100
my,100
No,99
been,98
education,97
ge2015,95
Balls,95
years,93
/,92
SNP,92
zero,92
care,91
make,90
spending,90
Miliband,90
had,90
What,89
much,89
How,88
right,87
BBCQT,87
could,86
see,86
me,86
You,86
ca,86
into,84
George,83
Why,83
were,82
better,82
social,81
poor,81
let,80
public,79
too,79
A,78
defence,78
rich,78
plan,78
schools,77
way,77
free,77
crisis,77
policy,76
..,76
'll,76
any,76
party,76
back,76
new,76
got,75
being,75
wo,75
fees,74
said,74
health,74
5,74
give,73
those,72
still,72
its,70
ve,70
nt,70
after,69
living,69
which,69
working,69
him,69
contracts,67
last,67
GP,67
Tax,67
Scotland,66
government,66
budget,66
help,64
They,64
come,64
low,63
1,63
country,63
put,63
Trident,62
take,62
same,61
He,61
'd,61
benefit,61
question,61
minimum,60
immigrants,60
job,60
banks,60
paid,60
before,59
well,59
most,59
That,58
private,58
stop,58
evasion,57
again,57
tuition,57
even,57
state,56
Do,56
etc,55
David,55
year,55
some,55
20,55
4,55
election,54
end,54
crime,54
services,53
talk,53
less,52
labour,52
saying,52
prices,52
thing,51
high,51
debate,51
landlords,51
nurses,51
times,51
patients,50
benefits,50
This,50
change,50
under,50
needs,49
GDP,49
welfare,49
Will,49
plans,49
Not,49
MPs,49
she,48
Britain,48
live,48
;,48
never,48
man,48
taxation,47
point,47
PM,47
food,47
talking,47
other,46
keep,46
wants,46
win,46
income,46
long,45
yet,45
energy,45
cost,45
NATO,44
u,44
week,44
May,44
deal,44
increase,44
must,44
Is,44
raise,44
pension,43
world,43
very,43
@bbcquestiontime,43
day,43
term,43
use,43
problem,43
via,43
own,42
issue,42
But,42
old,42
rent,42
really,42
GPs,42
@UKLabour,42
lot,41
pensioners,41
doctors,41
debt,41
answer,41
wrong,41
rise,40
=,40
ask,39
policies,39
waiting,39
voters,39
oil,39
these,39
far,39
3,39
fracking,39
2010,39
first,39
here,39
There,38
deficit,38
nothing,38
Let,38
+,38
nuclear,38
where,38
mean,38
nhs,37
spend,37
enough,36
When,36
done,36
MP,36
parties,36
real,36
also,36
political,36
inflation,36
migrants,36
doing,36
made,36
Dave,36
away,35
her,35
homes,35
means,35
left,35
BBC,35
And,35
pmqs,35
As,34
contract,34
Yes,34
power,34
war,34
higher,34
govt,34
buy,34
spent,33
taxpayers,33
agree,33
today,33
without,33
Police,33
since,33
bad,33
future,32
British,32
against,32
every,32
system,32
growth,32
getting,32
Iraq,32
sure,32
while,32
business,32
save,32
big,32
VoteSNP,32
best,32
PMQs,31
might,31
reason,31
Chancellor,31
mention,31
inequality,31
HMRC,31
young,31
fraud,31
treatment,31
environment,31
foreign,31
someone,31
healthcare,31
hospital,30
questions,30
Green,30
battlefornumber10,30
anything,30
teachers,30
due,30
using,30
In,30
next,29
house,29
trying,29
”,29
10,29
look,29
growing,29
actually,29
Marr,29
Who,29
London,29
may,29
*,29
figures,29
hour,29
All,29
wonder,29
rate,28
Budget,28
Just,28
bit,28
non,28
through,28
society,28
referendum,28
believe,28
“,28
control,28
having,28
tell,28
full,27
between,27
Russia,27
such,27
thought,27
....,27
both,27
Paxman,27
home,27
Housing,27
anti,27
gets,27
mental,27
idea,27
migration,27
another,27
already,27
audience,27
local,27
run,27
show,26
generalelection,26
great,26
two,26
anyone,26
rest,26
national,26
re,26
England,26
open,26
charge,26
leave,26
trust,26
raising,26
paying,25
few,25
Govt,25
mansion,25
fact,25
build,25
economics,25
ever,25
thinks,25
More,25
seems,25
borders,25
Immigration,25
Only,25
lack,25
else,25
voting,25
tories,25
price,25
stay,25
"
 ",25
coming,25
8,25
class,24
s,24
head,24
companies,24
tonight,24
days,24
per,24
politicians,24
past,24
used,24
kids,24
seen,24
strong,24
BBCDP,24
Europe,24
rid,24
until,24
ppl,24
Good,24
service,24
funding,24
budgets,24
caused,23
school,23
fund,23
clear,23
Alliance,23
stupid,23
banking,23
things,23
i,23
life,23
find,23
Putin,23
place,23
illegal,23
gone,23
million,23
top,23
created,23
People,23
promise,23
balls,23
able,23
making,23
always,23
politics,23
@daily_politics,23
Zero,23
Education,23
fair,22
Crime,22
cutting,22
’s,22
@David_Cameron,22
record,22
Economy,22
cause,22
love,22
unemployment,22
cancer,22
Can,22
DC,22
hospitals,22
Oh,22
blame,22
market,22
rather,22
hard,22
marr,22
reduce,22
choice,21
hope,21
50,21
makes,21
Lib,21
bedroom,21
poorest,21
To,21
waste,21
speech,21
Conservatives,21
budget2015,21
tells,21
aid,21
hit,21
huge,21
increased,21
asked,21
Are,21
problems,21
criminal,21
wages,21
Great,20
media,20
Austerity,20
|,20
controls,20
security,20
0,20
promised,20
line,20
voted,20
allow,20
key,20
least,20
shit,20
Taxpayers,20
needed,20
person,20
try,20
poverty,20
claim,20
important,20
number,19
My,19
billion,19
Farage,19
Self,19
Well,19
issues,19
elderly,19
100,19
…,19
afford,19
ahead,19
feel,19
please,19
countries,19
set,19
avoid,19
around,19
Does,19
coalition,19
English,19
become,19
Party,19
majority,19
told,19
goes,19
wait,19
green,19
failed,19
everyone,19
allowed,19
b,19
children,19
terrorists,19
bbcnews,19
2015,19
families,19
law,19
funded,19
hear,19
uni,19
face,19
Lab,18
homesforbritain,18
profit,18
am,18
case,18
funds,18
lower,18
7,18
taking,18
something,18
student,18
workers,18
family,18
building,18
lies,18
within,18
council,18
university,18
terrorism,18
call,18
trade,18
tenants,18
mess,18
pledge,18
n’t,17
instead,17
medical,17
self,17
though,17
@afneil,17
happy,17
cash,17
understand,17
Now,17
climate,17
HSBC,17
taken,17
worse,17
staff,17
Mr,17
turn,17
unemployed,17
chancellor,17
rates,17
sector,17
close,17
woman,17
reduced,17
Vote,17
Free,17
@theSNP,17
cap,17
pensions,17
Ukraine,17
legal,17
With,17
Health,17
military,17
serious,17
fault,16
panel,16
Did,16
took,16
standards,16
financial,16
asking,16
once,16
news,16
targets,16
army,16
matter,16
lie,16
giving,16
further,16
NI,16
night,16
ALL,16
difference,16
Ukip,16
