word,count
the,2013
.,1666
",",1378
and,1155
a,740
is,591
to,568
was,499
i,469
food,426
of,420
for,408
in,302
it,285
with,275
but,248
you,247
we,245
-,244
service,236
are,221
not,218
that,204
good,191
great,185
they,183
at,167
n't,165
this,165
on,165
were,161
have,158
had,154
place,153
(,137
's,136
),135
my,135
!,131
very,130
be,124
as,120
so,114
like,102
there,100
if,98
our,90
their,87
an,86
all,85
from,85
menu,84
or,83
restaurant,81
get,81
',76
dinner,75
out,75
here,72
staff,71
one,70
your,70
wine,69
when,69
prices,69
$,67
best,67
us,66
by,65
do,63
about,63
would,61
excellent,61
go,60
has,60
been,59
some,59
only,59
pizza,58
even,57
just,57
no,56
nice,56
always,56
what,56
sushi,54
table,54
delicious,53
atmosphere,53
ve,53
too,53
well,52
can,52
friendly,50
fresh,50
which,50
up,50
chicken,50
price,49
more,49
did,49
dishes,49
also,48
than,47
really,45
small,45
back,45
could,44
people,44
me,44
bar,44
better,44
drinks,43
lunch,43
ordered,42
wait,42
because,42
while,41
little,41
eat,41
other,39
order,39
made,39
never,39
most,39
make,38
meal,38
who,38
sauce,38
time,38
will,38
times,37
try,36
waiter,35
went,35
night,34
rice,33
thai,33
though,33
special,33
cheese,32
after,32
quality,32
over,32
dish,31
fish,31
two,30
average,30
then,30
recommend,29
ever,29
portions,29
new,28
experience,28
?,27
--,27
got,27
being,27
them,26
however,26
decor,26
much,26
he,26
came,26
both,26
taste,25
restaurants,25
2,25
take,25
appetizer,25
actually,25
appetizers,24
down,24
quite,24
dessert,24
love,24
're,24
still,24
before,24
ambience,23
way,23
attentive,23
hot,23
seated,23
minutes,23
served,23
around,23
everything,23
bad,23
bit,23
tasty,22
selection,22
its,22
salad,22
without,21
any,21
ok,21
amazing,21
know,21
lot,21
area,21
ambiance,21
rude,21
steak,20
pretty,20
:,20
worth,20
reservation,20
glass,20
perfect,20
drink,19
indian,19
slow,19
definitely,19
dining,19
nothing,19
decent,19
shrimp,19
reasonable,19
asked,19
date,19
list,18
looking,18
chef,18
beef,18
such,18
waitress,18
music,18
romantic,18
large,18
soup,18
how,18
big,18
must,18
tables,18
want,18
fast,17
cooked,17
few,17
off,17
spicy,17
right,17
wonderful,17
m,17
friends,17
cheap,17
salads,17
makes,17
does,16
cuisine,16
seafood,16
outside,16
spot,16
tried,16
enough,16
first,16
look,16
into,16
waiters,16
sit,16
fine,16
friend,16
priced,16
ca,16
bill,16
thing,16
during,15
lamb,15
main,15
sweet,15
20,15
find,15
took,15
again,15
late,15
say,15
bread,15
bagel,15
yet,15
rolls,15
where,15
three,15
bagels,15
french,15
italian,15
entree,15
outstanding,15
same,15
eating,15
money,15
full,14
specials,14
fried,14
especially,14
warm,14
overall,14
'd,14
expensive,14
high,14
away,14
crowded,14
sum,14
favorite,14
manager,14
city,14
tuna,14
room,14
world,14
authentic,14
dim,14
york,14
cold,14
roll,14
eaten,14
although,14
highly,14
pasta,14
half,14
next,13
day,13
reservations,13
nyc,13
going,13
expect,13
space,13
real,13
delivery,13
course,13
neighborhood,13
horrible,13
usually,13
portion,13
bartender,13
less,13
hour,13
least,13
feel,13
worst,13
chinese,13
fantastic,13
last,13
come,13
sure,12
offers,12
couple,12
mediocre,12
may,12
almost,12
sat,12
kind,12
prompt,12
door,12
group,12
value,12
cool,12
each,12
since,12
different,12
bring,12
flavor,12
places,12
should,12
many,12
side,12
sake,12
else,12
those,12
chocolate,12
'll,12
left,12
...,12
terrible,12
crab,12
disappointed,11
busy,11
his,11
entrees,11
having,11
she,11
ask,11
cute,11
owner,11
something,11
noodles,11
work,11
another,11
am,11
meat,11
comfortable,11
style,11
black,11
said,11
vegetables,11
need,11
enjoy,11
garlic,11
huge,11
sandwiches,11
sandwich,11
wife,11
husband,11
plate,11
bland,11
things,11
simple,11
water,11
3,11
ingredients,10
casual,10
loud,10
regular,10
keep,10
top,10
enjoyed,10
give,10
anything,10
lobster,10
often,10
  ,10
beer,10
rather,10
whole,10
see,10
tasted,10
beautiful,10
every,10
dumplings,10
bottle,10
curry,10
wines,10
japanese,10
house,10
fun,10
getting,10
including,10
below,10
sashimi,10
pay,10
these,10
seems,10
gave,10
saturday,10
once,10
desserts,10
deal,10
used,10
check,10
comes,9
fries,9
felt,9
several,9
brunch,9
location,9
6,9
quick,9
arrived,9
might,9
told,9
overpriced,9
anyone,9
ny,9
items,9
walk,9
servers,9
tiny,9
prepared,9
kitchen,9
looked,9
week,9
impressed,9
15,9
saw,9
awful,9
server,9
fact,9
seating,9
empty,9
extremely,9
itself,9
salmon,9
4,9
crust,9
hostess,9
waiting,9
live,9
given,9
happy,9
entire,9
reviews,9
think,9
call,9
poor,8
life,8
conversation,8
variety,8
share,8
wanted,8
found,8
spectacular,8
soft,8
finally,8
5,8
duck,8
awesome,8
limited,8
sometimes,8
customer,8
chinatown,8
cost,8
completely,8
done,8
close,8
extensive,8
rest,8
pleasant,8
size,8
old,8
leave,8
cake,8
complimentary,8
ate,8
received,7
reasonably,7
;,7
fabulous,7
except,7
name,7
above,7
visit,7
instead,7
plain,7
despite,7
pre,7
oil,7
soggy,7
tip,7
town,7
business,7
extra,7
white,7
pad,7
years,7
burgers,7
pieces,7
end,7
village,7
her,7
started,7
type,7
host,7
hard,7
someone,7
part,7
offer,7
wrong,7
thin,7
green,7
party,7
let,7
helpful,7
pick,7
burger,7
noodle,7
include,7
fixe,7
add,7
unfortunately,7
traditional,7
line,7
forget,7
everyone,7
liked,7
disappointing,7
pricey,7
yummy,7
sea,7
east,7
either,7
free,7
slightly,7
hand,7
past,7
twice,7
choices,7
dark,7
7,7
family,7
slice,7
stick,7
long,7
person,6
spice,6
10,6
return,6
grilled,6
includes,6
spinach,6
pie,6
glasses,6
until,6
management,6
pork,6
choice,6
feeling,6
offered,6
"""",6
tasting,6
incredible,6
seen,6
100,6
unless,6
coming,6
street,6
through,6
burnt,6
summer,6
home,6
counter,6
bistro,6
hang,6
occasion,6
sitting,6
pizzas,6
naan,6
prix,6
popular,6
owners,6
thought,6
stuff,6
touch,6
etc,6
square,6
favorites,6
foods,6
yes,6
filled,6
joint,6
toppings,6
point,6
dry,6
lack,6
called,6
pastrami,6
absolutely,6
consistently,6
hip,6
available,6
inside,6
beers,6
creative,6
per,6
delivered,6
considering,6
heavy,6
probably,6
ordering,6
ago,6
mind,6
why,6
fare,6
easy,6
midtown,6
simply,6
forgot,6
tastes,6
serving,6
incredibly,6
mushroom,6
8,6
now,6
inexpensive,6
crowd,6
garden,6
myself,6
use,5
interesting,5
view,5
super,5
dine,5
sent,5
stay,5
salty,5
enjoying,5
rushed,5
barely,5
typical,5
mention,5
tell,5
written,5
classic,5
sides,5
par,5
walked,5
manhattan,5
avenue,5
sharing,5
non,5
paid,5
able,5
ribs,5
ravioli,5
takeout,5
eggs,5
him,5
seat,5
terrific,5
hope,5
relatively,5
understand,5
relaxing,5
open,5
problem,5
whether,5
far,5
expected,5
level,5
interior,5
promptly,5
noisy,5
low,5
complained,5
ignored,5
lacking,5
eggplant,5
compared,5
/,5
certainly,5
modern,5
30,5
lousy,5
opened,5
lots,5
mussels,5
shredded,5
ended,5
vegetarian,5
raw,5
piece,5
similar,5
unique,5
courses,5
clean,5
second,5
anywhere,5
complete,5
beginning,5
lovely,5
asking,5
smile,5
lemon,5
lime,5
surprise,5
cramped,5
put,5
walking,5
shows,5
mushrooms,5
plus,5
trying,5
seem,5
red,5
cod,5
soy,5
beat,5
jazz,5
lucky,5
okay,5
birthday,5
mix,5
believe,5
addition,5
upper,5
wo,5
run,5
spent,4
girls,4
truly,4
ice,4
middle,4
young,4
fusion,4
potato,4
fair,4
perfection,4
across,4
mouth,4
evening,4
needs,4
talk,4
guests,4
care,4
affordable,4
steaks,4
bbq,4
basil,4
light,4
tomato,4
behind,4
friday,4
own,4
cream,4
teriyaki,4
orsay,4
scallops,4
crispy,4
pickles,4
bite,4
rush,4
spend,4
easily,4
set,4
chips,4
packed,4
oysters,4
floor,4
caviar,4
soon,4
assortment,4
knew,4
hands,4
front,4
weekends,4
orders,4
plenty,4
presentation,4
hours,4
basic,4
juice,4
pastas,4
save,4
thoroughly,4
amount,4
option,4
trendy,4
wow,4
roast,4
wallet,4
haru,4
agree,4
suggest,4
sichuan,4
serves,4
customers,4
parmesan,4
delectable,4
dogs,4
review,4
laid,4
meals,4
greatest,4
together,4
surprisingly,4
changed,4
sauces,4
relaxed,4
mom,4
making,4
noise,4
outdoor,4
yourself,4
diner,4
changes,4
read,4
asian,4
fatty,4
dumpling,4
fondue,4
hidden,4
fan,4
dosa,4
recommended,4
matter,4
toast,4
boyfriend,4
blue,4
short,4
reason,4
pancakes,4
visited,4
butter,4
courteous,4
offering,4
flavors,4
selections,4
section,4
pudding,4
workers,4
mozzarella,4
smaller,4
delicate,4
solid,4
chelsea,4
says,4
%,4
intimate,4
chance,4
american,4
pm,4
treat,4
quiet,4
charge,4
overly,4
nights,4
quickly,4
annoying,4
complain,4
groups,4
gets,4
buy,4
mahi,4
otherwise,4
freshness,4
oily,4
classics,4
literally,4
shell,4
range,4
taken,4
1,4
gras,4
jersey,4
please,4
vibe,4
beyond,4
goat,4
sleek,4
falafel,4
baby,4
phone,4
fix,4
tasteless,4
foie,4
+,3
refills,3
block,3
rose,3
40,3
expecting,3
mac,3
show,3
tanks,3
impressive,3
cafe,3
watery,3
chic,3
sapphire,3
volare,3
grand,3
write,3
weeks,3
ginger,3
grab,3
professional,3
gelato,3
quantity,3
pizzeria,3
additional,3
weekend,3
terrace,3
uptown,3
everytime,3
totally,3
requests,3
bruschetta,3
scene,3
suan,3
opinion,3
become,3
job,3
wrapped,3
positive,3
eye,3
crappy,3
12,3
meats,3
feature,3
alone,3
joe,3
sausage,3
exciting,3
fancy,3
split,3
theatre,3
vietnamese,3
idea,3
veal,3
checked,3
four,3
filling,3
pita,3
lasagna,3
efficient,3
seasonal,3
guy,3
larger,3
mediterranean,3
terms,3
hamburger,3
dressing,3
25,3
students,3
soups,3
oz,3
buns,3
vodka,3
inedible,3
somewhat,3
begin,3
lived,3
mamoun,3
combinations,3
establishment,3
store,3
45,3
halibut,3
superb,3
squid,3
tuesday,3
turned,3
oh,3
peanut,3
tikka,3
st,3
himself,3
sorry,3
figured,3
excuse,3
dressed,3
among,3
skip,3
buffet,3
congee,3
exceptional,3
change,3
previous,3
coconut,3
overbearing,3
cakes,3
roasted,3
freshest,3
takes,3
hanging,3
dance,3
spending,3
chops,3
private,3
truffle,3
platters,3
waited,3
risotto,3
sized,3
tend,3
experienced,3
undercooked,3
craving,3
milk,3
tries,3
personal,3
looks,3
cooking,3
peak,3
stop,3
unbelievably,3
50,3
flavorful,3
downtown,3
along,3
guys,3
sample,3
japan,3
platter,3
suggestions,3
regardless,3
sesame,3
tamarind,3
personable,3
funky,3
particularly,3
help,3
evident,3
spreads,3
baked,3
lacked,3
promised,3
olive,3
website,3
charming,3
company,3
secret,3
oven,3
head,3
waste,3
unlike,3
chili,3
happened,3
poivre,3
nearly,3
added,3
worked,3
pub,3
eats,3
seasoning,3
standing,3
cozy,3
beans,3
reviewer,3
immediately,3
plan,3
sliced,3
stopped,3
subpar,3
calamari,3
cocktail,3
banana,3
english,3
rare,3
homemade,3
theater,3
martini,3
chairs,3
girlfriend,3
attractive,3
overcrowded,3
waitresses,3
covers,3
grew,3
anyway,3
cook,3
pepper,3
hungry,3
doing,3
combination,3
allowed,3
known,3
credit,3
tapas,3
kick,3
notch,3
air,3
under,3
whatever,3
choose,3
ceiling,3
sour,3
heard,3
meeting,3
healthy,3
au,3
sell,3
round,3
ourselves,3
mess,3
tacos,3
wraps,3
filet,3
edible,3
loved,3
generous,3
plentiful,3
joints,3
supposed,3
monday,3
breakfast,3
saul,3
amazed,3
egg,3
exotic,3
guest,3
bucks,3
putting,3
uncomfortable,3
portobello,3
aside,3
throw,3
comforting,3
setting,3
benedict,3
treated,3
finished,3
five,3
dinners,3
scrumptious,3
brulee,3
wall,3
taking,3
nite,3
champagne,3
minute,3
serve,3
lox,3
pot,3
crusted,3
mcdonald,3
vegetable,3
ordinary,3
bass,3
cubes,3
pathetic,3
famous,3
employees,3
poorly,3
based,3
impossible,3
effort,3
presented,3
luck,3
tiramisu,3
due,3
corridor,2
spices,2
guess,2
unattractive,2
spider,2
surprising,2
noticed,2
hole,2
angel,2
chu,2
worse,2
between,2
9,2
dal,2
ran,2
dreadful,2
maine,2
consisted,2
unobtrusive,2
upon,2
bright,2
planning,2
treasure,2
root,2
longer,2
wonderfully,2
gone,2
cantonese,2
fill,2
containers,2
parmigiana,2
king,2
de,2
fortune,2
odd,2
la,2
chop,2
delayed,2
cheesecake,2
6.25,2
comfort,2
donut,2
pleasing,2
octopus,2
fillet,2
simplicity,2
corn,2
overlooked,2
fruit,2
crabmeat,2
fairly,2
chill,2
mall,2
possible,2
narrow,2
cart,2
baluchi,2
appreciates,2
uws,2
boat,2
frisco,2
die,2
chose,2
charging,2
sugar,2
miss,2
kinda,2
west,2
greeted,2
sprinkled,2
bars,2
accompanied,2
paired,2
arugula,2
crazy,2
thick,2
belt,2
16,2
trays,2
scenery,2
factor,2
stumbled,2
ground,2
passion,2
roxy,2
fettuccine,2
sizes,2
raspberry,2
stuffed,2
tony,2
brings,2
brooklyn,2
local,2
lounge,2
turn,2
bother,2
shake,2
knowledgeable,2
cocktails,2
art,2
snotty,2
knows,2
candle,2
adorn,2
nori,2
dried,2
yum,2
watering,2
working,2
nj,2
shame,2
melt,2
various,2
unable,2
snapple,2
overwhelmed,2
crossed,2
basically,2
willing,2
bone,2
sticks,2
cobb,2
tom,2
burrito,2
hold,2
guacamole,2
trip,2
roe,2
opportunity,2
understands,2
system,2
