word,count
the,2748
.,2349
",",1763
and,1564
a,969
is,858
to,751
was,674
i,635
food,597
of,556
for,539
in,423
it,393
you,348
with,343
we,318
service,315
but,309
-,308
are,300
great,299
good,289
not,270
that,263
they,240
this,235
have,233
!,233
on,222
at,214
had,211
place,211
's,206
n't,203
were,203
very,199
(,180
),179
my,179
as,166
so,157
be,155
if,131
there,130
all,129
like,125
their,121
restaurant,117
from,113
best,112
',111
menu,111
an,110
staff,109
our,106
get,103
here,100
or,99
excellent,96
delicious,95
go,95
out,93
one,91
your,91
by,90
pizza,90
wine,90
has,90
always,88
ve,86
dinner,85
do,84
been,84
friendly,83
when,83
prices,83
about,82
would,81
nice,81
even,79
some,79
atmosphere,79
well,79
$,78
just,77
only,77
fresh,76
sushi,75
no,75
which,75
us,75
can,75
also,73
too,72
really,70
what,69
more,67
me,67
table,66
than,66
try,64
wait,62
up,62
price,61
meal,61
chicken,60
dishes,59
better,57
people,55
bar,55
back,55
small,53
little,53
did,53
most,53
drinks,53
lunch,53
while,52
made,52
could,50
never,50
time,49
other,48
thai,48
ever,48
eat,48
ordered,47
who,47
because,47
make,46
experience,46
times,45
recommend,45
will,45
order,43
attentive,43
--,42
cheese,41
night,41
went,41
sauce,41
though,41
waiter,40
fish,40
over,40
special,40
quality,39
then,39
rice,38
amazing,38
much,38
way,37
indian,37
wonderful,37
new,37
're,37
portions,37
dish,37
taste,36
tasty,36
after,36
love,36
he,36
hot,35
everything,35
got,35
two,34
restaurants,34
average,34
its,34
decor,34
bit,34
down,33
them,32
both,32
perfect,32
being,32
quite,31
authentic,31
ambience,30
seated,30
cheap,30
dessert,30
appetizer,30
how,30
salad,30
before,30
selection,29
2,29
any,29
pretty,29
however,29
actually,29
ca,29
?,28
looking,28
appetizers,28
dining,28
worth,28
minutes,28
city,28
still,28
bad,28
came,28
spicy,27
definitely,27
such,27
nothing,27
around,27
take,26
large,26
want,26
cuisine,25
list,25
nyc,25
friends,25
:,25
soup,25
served,25
reasonable,25
know,25
french,25
italian,25
many,25
area,25
ambiance,25
fried,24
first,24
romantic,24
shrimp,24
must,24
priced,24
lot,24
fantastic,24
steak,23
without,23
fine,23
big,23
expensive,22
beef,22
m,22
ok,22
look,22
tuna,22
rolls,22
glass,22
date,22
rude,22
drink,21
his,21
fast,21
warm,21
chef,21
slow,21
owner,21
waitress,21
again,21
say,21
reservation,21
bagels,21
last,21
full,20
specials,20
off,20
overall,20
spot,20
tried,20
cool,20
sweet,20
music,20
waiters,20
room,20
makes,20
decent,20
york,20
asked,20
three,20
highly,20
desserts,20
come,20
thing,20
does,19
lamb,19
seafood,19
cooked,19
outside,19
top,19
right,19
enjoyed,19
enough,19
into,19
salads,19
find,19
took,19
sit,19
bagel,19
yet,19
cold,19
sandwich,19
where,19
outstanding,19
next,18
sure,18
especially,18
almost,18
'd,18
group,18
high,18
away,18
going,18
usually,18
enjoy,18
world,18
extremely,18
places,18
roll,18
entree,18
although,18
pasta,18
eating,18
simple,18
bill,18
money,18
tables,18
left,18
during,17
day,17
few,17
years,17
prompt,17
value,17
sum,17
delivery,17
course,17
manager,17
late,17
neighborhood,17
bread,17
dim,17
different,17
friend,17
less,17
hour,17
least,17
else,17
same,17
'll,17
...,17
she,16
may,16
ask,16
main,16
give,16
favorite,16
beer,16
real,16
dumplings,16
japanese,16
fun,16
bartender,16
huge,16
since,16
bring,16
flavor,16
yummy,16
side,16
plate,16
chinese,16
half,16
ingredients,15
reservations,15
visit,15
quick,15
kind,15
lobster,15
crowded,15
expect,15
ny,15
something,15
work,15
see,15
prepared,15
beautiful,15
every,15
20,15
curry,15
portion,15
each,15
garlic,15
salmon,15
should,15
feel,15
husband,15
sake,15
eaten,15
deal,15
3,15
reasonably,14
entrees,14
couple,14
cute,14
found,14
door,14
incredible,14
space,14
noodles,14
part,14
whole,14
am,14
horrible,14
house,14
worst,14
happy,14
think,14
family,14
used,14
disappointed,13
having,13
variety,13
above,13
town,13
pad,13
told,13
street,13
awesome,13
style,13
helpful,13
impressed,13
15,13
need,13
cozy,13
seating,13
sandwiches,13
pay,13
live,13
saturday,13
those,13
once,13
chocolate,13
terrible,13
crab,13
casual,12
offers,12
regular,12
brunch,12
mediocre,12
location,12
sat,12
often,12
rather,12
overpriced,12
anyone,12
coming,12
meat,12
comfortable,12
week,12
black,12
vegetables,12
fact,12
getting,12
pleasant,12
east,12
crust,12
cake,12
entire,12
things,12
water,12
ate,12
comes,11
interesting,11
fries,11
loud,11
10,11
busy,11
felt,11
life,11
mouth,11
conversation,11
pork,11
6,11
anything,11
might,11
  ,11
terrific,11
her,11
duck,11
another,11
walk,11
servers,11
far,11
looked,11
wrong,11
tasted,11
green,11
party,11
said,11
wines,11
close,11
sashimi,11
size,11
either,11
these,11
seems,11
wife,11
hostess,11
bland,11
reviews,11
simply,11
check,11
return,10
keep,10
several,10
except,10
wanted,10
manhattan,10
business,10
spectacular,10
arrived,10
"""",10
items,10
home,10
tiny,10
bistro,10
kitchen,10
bottle,10
let,10
owners,10
saw,10
awful,10
traditional,10
including,10
everyone,10
absolutely,10
below,10
empty,10
rest,10
itself,10
4,10
anywhere,10
gave,10
waiting,10
leave,10
fare,10
now,10
wo,10
garden,10
truly,9
;,9
fabulous,9
share,9
instead,9
pre,9
oil,9
until,9
white,9
soft,9
finally,9
end,9
superb,9
seen,9
unless,9
5,9
summer,9
someone,9
offer,9
sometimes,9
sitting,9
thin,9
thought,9
cost,9
fixe,9
completely,9
done,9
server,9
extensive,9
line,9
pastrami,9
liked,9
homemade,9
consistently,9
inside,9
sea,9
old,9
probably,9
given,9
trying,9
choices,9
birthday,9
midtown,9
call,9
inexpensive,9
long,9
myself,9
view,8
person,8
spice,8
super,8
poor,8
across,8
grilled,8
affordable,8
typical,8
name,8
plain,8
despite,8
soggy,8
choice,8
pieces,8
save,8
village,8
100,8
type,8
host,8
open,8
limited,8
prix,8
personal,8
customer,8
chinatown,8
promptly,8
outdoor,8
pick,8
burger,8
touch,8
foods,8
include,8
add,8
certainly,8
forget,8
lots,8
disappointing,8
available,8
smile,8
creative,8
free,8
slightly,8
put,8
hand,8
shows,8
nights,8
ordering,8
ago,8
mind,8
plus,8
gets,8
past,8
dark,8
complimentary,8
jazz,8
slice,8
tastes,8
incredibly,8
received,7
ice,7
evening,7
spinach,7
light,7
scene,7
own,7
pie,7
classic,7
cream,7
crispy,7
tip,7
set,7
packed,7
extra,7
feeling,7
able,7
burgers,7
ravioli,7
tasting,7
amount,7
recently,7
through,7
started,7
hard,7
hang,7
occasion,7
works,7
relaxed,7
making,7
popular,7
low,7
stuff,7
noodle,7
favorites,7
yes,7
boyfriend,7
