word,count
the,4634
.,4042
",",2954
and,2609
a,1699
to,1616
i,1585
is,1546
it,1235
of,987
for,960
was,945
in,683
with,673
that,608
food,598
you,585
not,513
this,499
but,497
on,453
my,447
great,443
-,440
are,438
have,433
they,389
had,365
service,362
good,360
we,359
!,358
n't,357
very,352
's,328
),318
(,317
at,313
so,309
as,298
be,281
all,252
were,244
has,229
like,226
if,224
place,215
or,201
there,193
an,191
from,190
would,187
me,187
computer,185
do,183
out,183
when,182
only,182
just,178
one,175
get,175
',172
can,170
about,168
up,163
also,162
which,159
laptop,156
no,156
their,155
more,153
use,152
even,148
best,148
than,144
well,143
price,140
your,134
after,127
$,124
some,123
by,122
go,120
been,120
battery,119
"""",118
restaurant,117
time,117
ve,116
menu,116
mac,115
excellent,115
windows,114
always,114
what,114
staff,113
did,113
nice,112
will,112
our,112
because,111
really,109
screen,109
too,107
new,105
here,105
back,104
other,103
easy,101
its,99
delicious,95
could,95
quality,95
better,94
much,93
pizza,90
wine,90
friendly,89
does,86
dinner,85
life,85
little,85
prices,84
any,82
us,82
love,81
fast,80
then,80
atmosphere,79
never,79
fresh,78
make,77
keyboard,77
made,76
most,76
sushi,75
everything,75
small,75
got,74
2,73
thing,73
hard,71
while,70
way,70
who,70
first,69
work,69
ever,69
:,68
table,67
try,67
wait,66
am,66
drive,66
went,66
people,65
how,65
over,65
times,65
recommend,64
many,64
still,63
apple,62
meal,61
though,60
chicken,60
software,60
dishes,59
  ,58
experience,58
them,58
down,58
problem,58
two,57
system,57
amazing,57
bar,57
want,57
wonderful,56
need,56
bit,55
perfect,55
used,55
size,54
warranty,54
ca,54
works,53
again,53
looking,53
drinks,53
lunch,53
same,52
7,52
features,52
ordered,52
worth,52
m,51
--,51
bad,51
macbook,50
since,50
came,50
being,50
right,50
around,50
buy,50
before,49
now,49
power,49
order,49
take,49
eat,48
thai,48
took,47
3,47
pc,47
're,47
night,46
he,46
?,46
off,46
lot,46
such,45
os,45
however,45
problems,45
pretty,45
bought,45
programs,45
without,44
special,44
performance,44
slow,44
enough,43
cheap,43
long,43
toshiba,43
average,43
attentive,43
hot,43
support,42
having,42
know,42
come,42
cheese,41
sauce,41
comes,41
pad,41
find,41
less,41
waiter,40
pro,40
fish,40
both,40
last,40
hours,40
actually,39
money,39
tried,38
large,38
minutes,38
/,38
makes,38
rice,38
definitely,38
look,38
mouse,38
portions,37
dish,37
indian,37
into,37
quite,37
should,37
tasty,36
years,36
another,36
graphics,36
taste,36
using,36
overall,36
working,36
something,36
nothing,36
machine,36
run,36
next,35
few,35
different,35
every,35
say,35
big,35
months,35
full,34
restaurants,34
day,34
may,34
decor,34
fine,34
awesome,33
product,33
found,33
see,33
must,33
high,32
feel,32
sure,32
yet,32
design,31
value,31
music,31
touch,31
things,31
able,31
cool,31
card,31
seated,31
authentic,31
where,31
three,31
seems,31
ambience,30
top,30
appetizer,30
fact,30
salad,30
old,30
think,30
internet,30
dessert,30
course,30
simple,30
...,30
sent,29
memory,29
going,29
runs,29
getting,29
once,29
call,29
;,29
quick,29
selection,29
speed,29
customer,29
said,29
priced,29
although,29
'd,28
anything,28
expensive,28
applications,28
laptops,28
city,28
decent,28
reasonable,28
happy,28
set,28
office,28
appetizers,28
dining,28
extremely,28
hour,28
pay,28
fantastic,28
especially,27
spicy,27
friends,27
purchase,27
else,27
highly,27
area,27
list,27
wanted,27
through,27
open,27
side,27
charge,27
left,27
fried,26
his,26
built,26
ask,26
almost,26
away,26
space,26
display,26
cost,26
completely,26
light,26
4,26
8,26
netbook,26
ram,25
nyc,25
told,25
ok,25
replaced,25
soup,25
served,25
etc,25
fun,25
huge,25
called,25
french,25
glass,25
10,25
cuisine,25
home,25
real,25
room,25
italian,25
program,25
ambiance,25
year,24
several,24
anyone,24
beautiful,24
world,24
shrimp,24
itself,24
least,24
keep,24
romantic,24
week,24
enjoy,24
steak,23
issue,23
give,23
thought,23
asked,23
plus,23
outstanding,23
'll,23
outside,23
until,23
delivery,23
rolls,23
operating,23
these,23
nt,23
date,23
during,22
she,22
kind,22
far,22
vista,22
tuna,22
rude,22
hp,22
warm,22
beef,22
rather,22
5,22
sound,22
usually,22
past,22
half,22
user,21
games,21
usb,21
spot,21
main,21
owner,21
finally,21
part,21
horrible,21
those,21
keys,21
drink,21
couple,21
dvd,21
gb,21
chef,21
video,21
sweet,21
whole,21
waitress,21
looks,21
late,21
reservation,21
word,21
friend,21
bagels,21
deal,21
dell,21
fix,21
super,20
enjoyed,20
issues,20
web,20
waiters,20
york,20
1,20
simply,20
needed,20
specials,20
poor,20
gaming,20
easily,20
20,20
repair,20
fan,20
help,20
sit,20
places,20
desserts,20
wo,20
lamb,19
seafood,19
offers,19
cooked,19
except,19
started,19
impressed,19
bagel,19
cold,19
free,19
roll,19
quickly,19
cd,19
microsoft,19
group,19
unless,19
type,19
salads,19
carry,19
15,19
sandwich,19
probably,19
worst,19
fixed,19
purchased,19
tech,19
loud,18
mini,18
prompt,18
might,18
end,18
expect,18
change,18
start,18
manager,18
done,18
key,18
entree,18
why,18
entire,18
pasta,18
tables,18
person,18
business,18
extra,18
favorite,18
coming,18
someone,18
looked,18
running,18
compared,18
each,18
bring,18
absolutely,18
husband,18
gets,18
eating,18
bill,18
needs,17
motherboard,17
black,17
worked,17
including,17
inside,17
anywhere,17
either,17
gave,17
live,17
plate,17
terrible,17
disappointed,17
desktop,17
port,17
sum,17
making,17
neighborhood,17
yes,17
bread,17
short,17
dim,17
yummy,17
family,17
above,16
processor,16
instead,16
ports,16
send,16
6,16
store,16
disk,16
low,16
house,16
reason,16
flavor,16
second,16
doing,16
put,16
trying,16
chinese,16
due,16
myself,16
regular,16
installed,16
visit,16
save,16
incredible,16
beer,16
terrific,16
offer,16
expected,16
dumplings,16
helpful,16
japanese,16
bartender,16
wireless,16
solid,16
quiet,16
phone,16
own,15
external,15
hardware,15
lobster,15
door,15
seen,15
ny,15
